TYPE,BASE_ELEV,ELEV_SL,TOP_SL,ELEV_GL,TOP_GL,BldgID,EditDate,created_da,last_edite,Shape_area,Shape_len,geometry,index_right,address,site,description,flock_site_address,flock_site_description,Full_Addr
OUTBLDG,12.2,19.0,19.8,6.8,7.6,999-413,,2020-04-27,2021-10-20,87.5081346188,37.6051437295,"POLYGON Z ((450990.3347026527 152252.15571466053 18.965299999996205, 450989.6460555441 152249.66860061142 18.965299999996205, 450986.6089752466 152250.5095707905 18.965299999996205, 450987.297622335 152252.9966848524 18.965299999996205, 450990.3347026527 152252.15571466053 18.965299999996205))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.2,20.6,21.4,8.4,9.2,999-416,,2020-04-27,2021-10-20,377.143740381,77.5499840574,"POLYGON Z ((451069.080220291 152255.7903748508 20.574600000007194, 451071.8708810204 152256.50314645682 20.574600000007194, 451073.35067948676 152250.71874523943 20.574600000007194, 451067.4307931846 152249.3550483908 20.574600000007194, 451066.2165601376 152254.958621654 20.574600000007194, 451069.080220291 152255.7903748508 20.574600000007194))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.5,19.5,19.8,7.0,7.3,999-418,,2020-04-27,2021-10-20,59.1031562744,30.7803667893,"POLYGON Z ((451036.6886494174 152257.48479773372 19.54670000000624, 451036.07144490024 152255.32713498786 19.54670000000624, 451033.71828308783 152256.00022318913 19.54670000000624, 451034.3353875798 152258.15788709914 19.54670000000624, 451036.6886494174 152257.48479773372 19.54670000000624))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.1,19.1,19.2,7.0,7.1,999-424,,2020-04-27,2021-10-20,249.495638292,65.5156969758,"POLYGON Z ((451069.080220291 152255.7903748508 19.134600000004866, 451065.54799687816 152254.95868455872 19.134600000004866, 451064.4842320187 152261.28838887432 19.134600000004866, 451065.1296505446 152261.396921352 19.134600000004866, 451066.6104022888 152261.64568892377 19.134600000004866, 451068.1733338366 152261.90820565188 19.134600000004866, 451069.080220291 152255.7903748508 19.134600000004866))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.6,23.4,23.2,10.8,10.6,999-437,,2020-04-27,2021-10-20,448.830772206,87.3143106664,"POLYGON Z ((451063.922073075 152264.86929467923 23.386599999997998, 451063.430623296 152258.7175920279 23.386599999997998, 451056.3020810659 152260.59562423773 23.386599999997998, 451056.45984093985 152261.22614711482 22.511899999997695, 451057.78005336673 152266.5045125671 23.345900000000256, 451057.844670888 152266.76302568972 23.386599999997998, 451058.5817116931 152266.57872248898 23.386599999997998, 451058.49380684225 152266.22705690993 23.386599999997998, 451063.922073075 152264.86929467923 23.386599999997998))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.0,17.5,18.7,5.5,6.7,999-451,,2020-04-27,2021-10-20,69.7736440184,33.4354093725,"POLYGON Z ((450982.8633984215 152279.3562373259 17.457800000003772, 450982.0359491197 152276.84602909107 17.457800000003772, 450979.7058964706 152277.61417203434 17.457800000003772, 450980.53334576474 152280.12438027485 17.457800000003772, 450982.8633984215 152279.3562373259 17.457800000003772))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,12.1,20.6,20.9,8.5,8.8,999-452,,2020-04-27,2021-10-20,387.796681138,78.7873109602,"POLYGON Z ((450990.604484438 152278.81252125886 20.64539999999397, 450988.89632970653 152273.2199828449 20.64539999999397, 450983.0174293538 152274.937464791 20.64539999999397, 450984.74782151694 152280.60166262527 20.64539999999397, 450990.604484438 152278.81252125886 20.64539999999397))",8,"Windsor St & Hampshire St, Cambridge, Massachusetts, 02139",P#010,"Windsor St@ Hampshire St (solar power, city light pole)","Windsor St & Hampshire St, Cambridge, Massachusetts, USA","solar power, city light pole",
OUTBLDG,31.4,37.9,37.4,6.5,6.0,999-690,,2020-04-27,2021-10-20,59.3678982744,34.5922406177,"POLYGON Z ((452225.9785629875 152482.85803260503 37.44530000000668, 452225.7222281068 152481.456965204 37.925600000002305, 452221.94126994116 152482.1605498419 37.925600000002305, 452222.2276008787 152483.58647497886 37.44530000000668, 452225.9785629875 152482.85803260503 37.44530000000668))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",
OUTBLDG,31.8,35.5,35.5,3.7,3.7,999-692,,2020-04-27,2021-10-20,26.9616921112,20.9625889707,"POLYGON Z ((452208.178294195 152485.9756292862 35.53609999999753, 452208.0504937191 152485.2722406136 35.53609999999753, 452206.726020757 152485.4317620762 35.53609999999753, 452206.9836589444 152487.2722223909 35.53609999999753, 452208.3341106876 152487.08449227674 35.53609999999753, 452208.178294195 152485.9756292862 35.53609999999753))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",
OUTBLDG,30.4,37.9,39.4,7.5,9.0,999-694,,2020-04-27,2021-10-20,64.0789983018,32.0577095507,"POLYGON Z ((452277.3484479941 152488.43369560945 37.87179999999353, 452276.8779817845 152485.91514040562 37.87179999999353, 452274.5931762243 152486.3418810834 37.63189999999304, 452275.06354241166 152488.8604374542 37.63189999999304, 452277.3484479941 152488.43369560945 37.87179999999353))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",
OUTBLDG,29.0,41.5,42.0,12.5,13.0,999-706,,2020-04-27,2021-10-20,225.922568833,71.9435771832,"POLYGON Z ((452275.6069123897 152500.83187023253 41.47179999999935, 452274.03296418034 152492.44878885942 41.23170000000391, 452271.64268851187 152492.89755987716 41.23170000000391, 452271.7929207445 152493.6979118641 41.25460000000021, 452272.01762469107 152495.17446519545 41.29660000000149, 452272.2007165619 152496.1686832217 41.32520000000659, 452272.83290856576 152499.23709540433 41.41340000000491, 452273.0758193269 152500.91188604827 41.46099999999569, 452273.216636677 152501.28064126585 41.47179999999935, 452275.6069123897 152500.83187023253 41.47179999999935))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",
BLDG,22.2,30.2,32.6,8.0,10.4,406-13,,2020-04-27,2025-07-14,180.23766129,55.0354426135,"POLYGON Z ((452330.57861606753 152526.19636235945 30.191699999995762, 452327.7191905732 152521.958229767 30.191699999995762, 452325.0032031023 152523.79052422318 30.191699999995762, 452327.86232970556 152528.02876034917 30.191699999995762, 452330.57861606753 152526.19636235945 30.191699999995762))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",186 Monsignor Obrien Hwy
OUTBLDG,22.3,29.3,29.8,7.0,7.5,999-753,,2020-04-27,2021-10-20,50.7589687839,28.8690355629,"POLYGON Z ((452206.2319825456 152550.97271794593 29.278900000004796, 452205.7267056862 152549.19444870806 29.278900000004796, 452203.2721022828 152549.8919276842 29.278900000004796, 452203.7773791282 152551.6701969263 29.278900000004796, 452206.2319825456 152550.97271794593 29.278900000004796))",10,"3rd St & Gore St, Cambridge, Massachusetts, 02141",P#012,"Third St @ Gore St (solar power, surface wall mount)","Third St & Gore St, Cambridge, Massachusetts, USA","solar power, surface wall mount",
