BldgID,site,description,Full_Addr
406-13,P#012,"Third St @ Gore St (solar power, surface wall mount)",186 Monsignor Obrien Hwy
503-22,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",324 Windsor St
503-22,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",322 Windsor St
503-14,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",330 Windsor St
451-41,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",327 Windsor St
451-41,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",325 Windsor St
451-40,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",99 Hampshire St
451-39,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",101 Hampshire St
451-39,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",18 Union St
437-11,P#007,"Memorial Dr@ JFK St (solar power, city light pole)",971 Memorial Dr
503-11,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",336 Windsor St
451-3,P#010,"Windsor St@ Hampshire St (solar power, city light pole)",333 Windsor St
422-13,P#012,"Third St @ Gore St (solar power, surface wall mount)",255 Cambridge St
422-13,P#012,"Third St @ Gore St (solar power, surface wall mount)",253 Cambridge St
431-1,P#012,"Third St @ Gore St (solar power, surface wall mount)",38 Gore St
422-4,P#012,"Third St @ Gore St (solar power, surface wall mount)",29 Third St
422-10,P#012,"Third St @ Gore St (solar power, surface wall mount)",60 Gore St
406-12,P#012,"Third St @ Gore St (solar power, surface wall mount)",25-1/2 Gore St
406-12,P#012,"Third St @ Gore St (solar power, surface wall mount)",25 Gore St
406-11,P#012,"Third St @ Gore St (solar power, surface wall mount)",33 Gore St
406-10,P#012,"Third St @ Gore St (solar power, surface wall mount)",29 Gore St
406-10,P#012,"Third St @ Gore St (solar power, surface wall mount)",31 Gore St
406-9,P#012,"Third St @ Gore St (solar power, surface wall mount)",43 Gore St
406-9,P#012,"Third St @ Gore St (solar power, surface wall mount)",39 Gore St
406-9,P#012,"Third St @ Gore St (solar power, surface wall mount)",41 Gore St
406-8,P#012,"Third St @ Gore St (solar power, surface wall mount)",37-1/2 Gore St
406-8,P#012,"Third St @ Gore St (solar power, surface wall mount)",37 Gore St
406-8,P#012,"Third St @ Gore St (solar power, surface wall mount)",35 Gore St
406-8,P#012,"Third St @ Gore St (solar power, surface wall mount)",35-1/2 Gore St
406-7,P#012,"Third St @ Gore St (solar power, surface wall mount)",22 Third St
406-6,P#012,"Third St @ Gore St (solar power, surface wall mount)",192 Monsignor Obrien Hwy
406-6,P#012,"Third St @ Gore St (solar power, surface wall mount)",194 Monsignor Obrien Hwy
406-5,P#012,"Third St @ Gore St (solar power, surface wall mount)",20 Third St
400-15,P#012,"Third St @ Gore St (solar power, surface wall mount)",65 Gore St
400-13,P#012,"Third St @ Gore St (solar power, surface wall mount)",61 Gore St
400-4,P#012,"Third St @ Gore St (solar power, surface wall mount)",55 Gore St
400-4,P#012,"Third St @ Gore St (solar power, surface wall mount)",53 Gore St
406-2,P#012,"Third St @ Gore St (solar power, surface wall mount)",196 Monsignor Obrien Hwy
400-10,P#012,"Third St @ Gore St (solar power, surface wall mount)",19 Third St
400-10,P#012,"Third St @ Gore St (solar power, surface wall mount)",25 Third St
406-1,P#012,"Third St @ Gore St (solar power, surface wall mount)",14 Third St
406-1,P#012,"Third St @ Gore St (solar power, surface wall mount)",16 Third St
400-3,P#012,"Third St @ Gore St (solar power, surface wall mount)",61-C Gore St
400-17,P#012,"Third St @ Gore St (solar power, surface wall mount)",61-A Gore St
406-4,P#012,"Third St @ Gore St (solar power, surface wall mount)",200 Monsignor Obrien Hwy
400-19,P#012,"Third St @ Gore St (solar power, surface wall mount)",12 Winter St
368-19,P#003,"Cambridge St @ Hampshire St (solar power, city light pole)",123 Inman St
368-19,P#013,"Hampshire St@ Cambridge St (solar power, city light pole)",123 Inman St
368-18,P#003,"Cambridge St @ Hampshire St (solar power, city light pole)",132 Antrim St
368-18,P#003,"Cambridge St @ Hampshire St (solar power, city light pole)",130 Antrim St
368-18,P#013,"Hampshire St@ Cambridge St (solar power, city light pole)",132 Antrim St
